ROOF AGE,Permit Number,Permit Type,Description,Address,LAT,LON
27,98030908,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:4/12,"2296 KENYA LN, PORT CHARLOTTE 33952",26.994914974792444,-82.01850895
27,98030909,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:4/12,"3422 MAGNOLIA WAY, PUNTA GORDA 33950",26.907354331004107,-82.05031589
27,98030906,Building/Trade Permits/Residential/Roofing,RECOVER SHINGLE ROOF  SLOPE:4/12,"2385 SOFIA LANE, PORT CHARLOTTE 33983",26.99189572885625,-82.01277156
27,98030864,Building/Trade Permits/Residential/Mechanical,CHANGE OUT 15T ON ROOF,"3006 CARING WAY, PORT CHARLOTTE",26.98763920716337,-82.10210831
27,98030907,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLE  SLOPE:4/12,"5314 NEVILLE TERRACE, PORT CHARLOTTE 33981",26.952081809844092,-82.21757508
27,98030775,Building/Trade Permits/Residential/Roofing,NEW SHINGLE ROOF,"15550 BURNTSTORE RD UNIT 83, PUNTA GORDA",26.800111665551228,-82.03461822
27,98030813,Building/Trade Permits/Residential/Roofing,RE-ROOF MODIFIED  1/12,"21027 MEEHAN AVE, PORT CHARLOTTE",26.997926746988174,-82.10588836
27,98030829,Building/Trade Permits/Residential/Roofing,TEAR OFF SHINGLE & FLAT   SLOPE:5/12,"1513 FIRESIDE ST, PORT CHARLOTTE",27.003540001513404,-82.09653477
27,98030785,Building/Accessories/Residential/Lanai,ALUM ROOF OVER MH ONLY,"15550 BURNT STORE RD, PUNTA GORDA 433955",26.800111665551228,-82.03461822
27,98030831,Building/Trade Permits/Residential/Roofing,TEAR OFF SHINGLE & FLAT  SLOPE:5/12,"23213 JULES AVE, PORT CHARLOTTE",27.000898377274908,-82.0673905
27,98030733,Building/Trade Permits/Residential/Roofing,REMOVE SHINGLES AND REPLACE WITH 1-PLY,"21970 CELLINI AVE N.E., PORT CHARLOTTE 33952",26.99444378772334,-82.09088902
27,98030754,Building/Trade Permits/Residential/Roofing,SINGLE PLY RE-ROOF,"7470 DANVERS CIRCLE, PORT CHARLOTTE 33981",26.918432203361775,-82.21522514
27,98030745,Building/Accessories/Residential/Lanai,INSTALL NEW INSULATED ROOF AND REPLACE FLAT DECK,"95 WATERSIDE ST, PORT CHARLOTTE",27.029620994652326,-82.09546656
27,98030746,Building/Trade Permits/Residential/Roofing,REROOF,"153 FOUNTAIN ST, PORT CHARLOTTE",27.02884284112449,-82.20780177
27,98030740,Building/Trade Permits/Residential/Roofing,TEAR OFF & REPLACE SHINGLES,"701 JARVIS ST, PORT CHARLOTTE 33948",26.989845231169685,-82.13786322
27,98030734,Building/Trade Permits/Residential/Roofing,RE-ROOF FLAT AND RE-WORK VALLEY,"525 AZALEA AVE, PORT CHARLOTTE",26.98550233488207,-82.1076813
27,98030719,Building/Trade Permits/Residential/Roofing,RE-ROOF,"2140 MISSISSIPPI AVE, ENGLEWOOD",26.91876792990546,-82.32217408
27,98030714,Building/Trade Permits/Residential/Roofing,RE-SHINGLE BACK 1/2 OF ROOF,"126 BEENIE RD, PORT CHARLOTTE",,
27,98030732,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLE,"1532 ABSCOTT STREET, PORT CHARLOTTE 33952",27.002746681297726,-82.06960294
27,98030708,Building/Construction/Residential/Addition,SCREEN IN ENCLOSURE & ROOF OVER DECK,"24178 JEAN LAFITTE BLVD, PUNTA GORDA",26.79950798951636,-82.04873313
27,98030662,Building/Trade Permits/Residential/Roofing,INSTALL NEW SHINGLES ON BACK OF HOUSE,"842 FOREST HILL LN, PORT CHARLOTTE",26.994432411885576,-82.12773133
27,98030632,Building/Trade Permits/Residential/Roofing,RE-ROOF TEAR OFF & RE-SHINGLE  4/12 & FLAT,"18386 COURTLAND AVE, PORT CHARLOTTE",27.000011495198475,-82.14418786
27,98030631,Building/Trade Permits/Residential/Roofing,TEAR OFF & REPLACE SHINGLE ROOF,"2164 BROAD RANCH DR, PORT CHARLOTTE 33948",26.99901953525628,-82.12751013
27,98030634,Building/Accessories/Residential/Lanai,ALUM ROOF OVER,"2360 WILEY ST, PORT CHARLOTTE",26.99317367150012,-82.10440067
27,98030666,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLE  FLAT,"1510 HELENA AVE, ENGLEWOOD 34223",26.940250295321402,-82.34278865
27,98030629,Building/Trade Permits/Residential/Roofing,TEAR OFF ROCK ROOF REPLACE WITH SHINGLES,"21717 EDGEWATER DR, PORT CHARLOTTE 33948",26.96408667109611,-82.08778387
27,98030668,Building/Construction/Residential/Miscellaneous,RE-ROOF W' TILE  6/12,"1401 BEACH RD, 1, ENGLEWOOD FL 34223",26.932631908104216,-82.35462952
27,98030672,Building/Trade Permits/Residential/Roofing,RE-ROOF - SHINGLES OVER SHINGLES,"20208 TAPPANZEE DR, PORT CHARLOTTE 33952",27.015035651720765,-82.12068939
27,98030637,Building/Trade Permits/Residential/Roofing,INSTALL SHINGLES OVER EXIST SHINGLES  4/12,"3521 AMES ST, PUNTA GORDA",26.906490268629522,-82.04489896
27,98030636,Building/Trade Permits/Residential/Roofing,TEAR OFF & RE-ROOF W/ GAF SHINGLES  SLOPE:4/12,"3810 BAYNARD DRIVE, PUNTA GORDA",26.90423019962925,-82.03917693
27,98030641,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLE,"20359 MIDWAY BLVD, PORT CHARLOTTE 33952",26.995546312943667,-82.11482997
27,98030661,Building/Trade Permits/Residential/Roofing,INSTALL NEW SHINGLE ROOF,"1404 ALGIERS ST, PORT CHARLOTTE 33980",27.006332511233502,-82.06201933
27,98030667,Building/Construction/Residential/Miscellaneous,RE-ROOF W'CONCRETE TILE  6/12,"1451 BEACH RD, ENGLEWOOD 34223",26.931299846954058,-82.35399365
27,98030635,Building/Trade Permits/Residential/Roofing,REPAIR TILE ROOF  LESS 1 SQ,"172 COUSLEY DR SE, PORT CHARLOTTE 33952",26.957874221386366,-82.0939865
27,98030633,Building/Trade Permits/Residential/Roofing,RE-ROOF TEAR OFF & RE-SHINGLE  6/12,"478 LONDRINA DR, PUNTA GORDA 33983",27.019918346308604,-82.01702883
27,98030665,Building/Trade Permits/Residential/Roofing,RE-ROOF W'GAF SHINGLES & RUBBEROID  4/12,"150 CRESTVIEW DR, ENGLEWOOD 34223",26.940847321034504,-82.34696962
27,98030638,Building/Trade Permits/Residential/Roofing,RE-ROOF FLAT ROOF,"2263 RIO DE JANERIO AVE, PUNTA GORDA 33983",26.995758061523812,-82.01814276
27,98030623,Building/Trade Permits/Residential/Roofing,COMPLETE RE-ROOF SHINGLE,"701 CLEARVIEW DR, PORT CHARLOTTE",27.021053448387356,-82.20248415
27,98030594,Building/Trade Permits/Residential/Roofing,NEW SHINGLE ROOF,"1860 FAUST DR, ENGLEWOOD 34224",26.92824755241439,-82.31694032
27,98030612,Building/Trade Permits/Residential/Roofing,TEAR OFF AND RESHINGLE,"1614 PAGE ST, PORT CHARLOTTE",27.00084872247463,-82.08180238
27,98030609,Building/Accessories/Residential/Lanai,ROOF OVER MH ONLY,"7337 HEDWIG CT, PORT CHARLOTTE 33981",26.921386731724922,-82.21591951
27,98030596,Building/Construction/Residential/Addition,INSTALL VINYL WINDOW ROOM WITH COMPOSITE ROOF ON,"35711 WASHINGTON LOOP RD, PUNTA GORDA",26.972623747777078,-81.8953654
27,98030620,Building/Trade Permits/Residential/Roofing,COMPLETE RE-ROOF MODIFIED,"22174 FELTON AVE, PORT CHARLOTTE",26.99370761269213,-82.08412174
27,98030606,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLES & FLAT DECK  SLOPE:4/12,"478 ORANGE DRIVE, PORT CHARLOTTE",26.988544332837375,-82.11572265
27,98030622,Building/Trade Permits/Residential/Roofing,COMPLETE RE-ROOF SHINGLE,"190310 MCGRATH CIR, PORT CHARLOTTE",,
27,98030621,Building/Trade Permits/Residential/Roofing,COMPLETE MAIN RE-ROOF SHINGLES ONLY,"260 TARPON BLVD E., PORT CHARLOTTE",26.976797094764226,-82.11599725
27,98030624,Building/Trade Permits/Residential/Roofing,COMPLETE RE-ROOF MODIFIED,"2410 LANIER RD, PUNTA GORDA",26.967937554896466,-81.9695968
27,98030535,Building/Trade Permits/Residential/Roofing,REPAIR BASE OF VALLEY ON SHINGLE ROOF  4/12,"1224 CORKTREE CIR, PORT CHARLOTTE",27.01148041825654,-82.12203223
27,98030531,Building/Accessories/Residential/Carport,CARPORT PAN ROOF ONLY,"15319 LEMONADE DRIVE, PUNTA GORDA",26.870207734302276,-81.99711885
27,98030564,Building/Construction/Residential/Addition,"ALUM ROOF, VINYL SIDING, CHANGE VINYL ROOM TO","1000 KINGS HWY #67, PORT CHARLOTTE 33980",27.012224296403744,-82.05295935
27,98030581,Building/Trade Permits/Residential/Roofing,SHINGLE OVER SHINGLE,"880 FAIRFAX TERR NW, PORT CHARLOTTE",26.99332797864043,-82.12577064
27,98030558,Building/Trade Permits/Residential/Roofing,REPLACE PAN ROOF ONLY,"2100 KINGS HWY *NANAIMO*, PORT CHARLOTTE",26.999233302768417,-82.05657329
27,98030534,Building/Trade Permits/Residential/Roofing,REPAIR CORNER OF GABLE ON TILE ROOF,"2310 BENGAL CT, PORT CHARLOTTE",26.994436230170066,-82.01474769
27,98030513,Building/Trade Permits/Residential/Roofing,SHINGLE & FLAT RE-ROOF  SLOPE:4/12,"980 SIDNEY TERRACE, PORT CHARLOTTE",26.989341651902677,-82.12844844
27,98030495,Building/Trade Permits/Residential/Roofing,FLAT RE-ROOF,"21260 BRINSON AVENUE, PORT CHARLOTTE",26.98998275396499,-82.09862638
27,98030511,Building/Trade Permits/Residential/Roofing,SHINGLE & FLAT RE-ROOF  SLOPE:4/12,"4395 MILL ST, PORT CHARLOTTE 33952",26.96239152318732,-82.06145256
27,98030502,Building/Trade Permits/Residential/Roofing,RE-ROOF AND ENLARGE FRONT PORCH,"135 WILHELM DRIVE, ENGLEWOOD 34223",26.918794648653574,-82.35591126
27,98030461,Building/Trade Permits/Residential/Roofing,RE-ROOF,"893 RIVERIA LANE, PORT CHARLOTTE",,
27,98030517,Building/Trade Permits/Residential/Roofing,RESHINGLE OF ROOF,"6387 CUTLER TERR, PORT CHARLOTTE 33948",26.935671149745513,-82.22298143
27,98030466,Building/Trade Permits/Residential/Roofing,ROOF OVER,"833 KENWOOD TERR, PORT CHARLOTTE 33948",26.995662604088793,-82.12596136
27,98030480,Building/Trade Permits/Residential/Roofing,TEAR OFF & RESHINGLE,"21293 PEMBERTON ST, PORT CHARLOTTE 33948",27.016492952733273,-82.09782406
27,98030476,Building/Trade Permits/Residential/Roofing,NEW SHINGLE ROOF  2.5/12,"15550 BURNT STORE RD, PUNTA GORDA",26.800111665551228,-82.03461822
27,98030509,Building/Trade Permits/Residential/Roofing,RE-ROOF WITH SINGLE PLY MEMBRANE RENEW PERMIT 4-18-01 LOT # 125,"24000 RAMPART BLVD, 33948",27.002995639459886,-82.04675012
27,98030489,Building/Trade Permits/Residential/Roofing,SHINGLE OVER SHINGLE,"158 NORMAN ST, PORT CHARLOTTE",27.027755703544564,-82.06187441
27,98030514,Building/Trade Permits/Residential/Roofing,FLAT RE-ROOF,"21259 PERCY AVE, PORT CHARLOTTE",26.995510014329682,-82.09911349
27,98030499,Building/Trade Permits/Residential/Roofing,SHINGLE OVER SHINGLE,"2457 COLOGNE LN, PUNTA GORDA 33983",26.989673750508214,-82.01284798
27,98030510,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:4/12,"21100 BURKHART DR, PORT CHARLOTTE 33952",27.000171793998508,-82.10406488
27,98030463,Building/Trade Permits/Residential/Roofing,REROOF SHINGLE,"18339 YALE AVE, PORT CHARLOTTE",26.997882831202574,-82.14560704
27,98030396,Building/Trade Permits/Residential/Roofing,NAIL SHINGLES OVER EXIST SHINGLES,"10027 OCEANSPRAY RD, ENGLEWOOD 34224",26.92321768323828,-82.28762054
27,98030424,Building/Trade Permits/Residential/Roofing,REPAIR SHINGLE  LESS 1 SQ,"20168 TAPPAN ZEE DR, PORT CHARLOTTE",27.013990348311836,-82.12072747
27,98030391,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:3/12,"15530 BURNT STORE RD, PUNTA GORDA",26.800594977038347,-82.03592788
27,98030428,Building/Accessories/Residential/Lanai,ROOF OVER MOBILE HOME 12X57 & FLORIDA ROOM 11X43,"7337 LARES ST, PORT CHARLOTTE 33981",26.921512606437517,-82.21752161
27,98030402,Building/Trade Permits/Residential/Roofing,COAT TILE ROOF W/ URETHANE SYSTEM,"154 FRANCIS DR NE, PORT CHARLOTTE",26.971405070963957,-82.09588628
27,98030405,Building/Trade Permits/Residential/Roofing,"SHINGLES OFF, TIMBERLINE SHINGLES ON","286 ANNAPOLIS LANE, CAPE HAZE",26.891240970525935,-82.29445654
27,98030380,Building/Trade Permits/Residential/Roofing,NEW SHINGLE ROOF,"15550 BURNT STORE RD #78, PUNTA GORDA",26.80039393680137,-82.03623963
27,98030411,Building/Accessories/Residential/Lanai,10'X35' BUILT UP ROOF OVER,"112 AURA ST, ENGLEWOOD 34224",26.92771054717283,-82.36095461
27,98030419,Building/Accessories/Residential/Lanai,ROOF OVER MOBILE HME ONLY,"3216 SUNNY HARBOR DR, PUNTA GORDA",26.975023199845623,-81.97901152
27,98030403,Building/Trade Permits/Residential/Roofing,"SHINGLES OFF, KIMBERLINEI SHINGLES ON","6304 PARTRIDGE AVE, ENGLEWOOD",26.940586058138567,-82.30735014
27,98030379,Building/Trade Permits/Residential/Roofing,COMPLETE RE-ROOF SHINGLE & MODIFIED  SLOPE:3/12,"1429 DORCHESTER ST, PORT CHARLOTTE",27.005449317814502,-82.10835273
27,98030426,Building/Trade Permits/Residential/Roofing,TEAR OFF FLAT DECK AND SHINGLE TIE-IN,"2539 LAKESHORE CIRCLE, PORT CHARLOTTE",26.991975803032997,-82.11106115
